PLAN_DATE,SIGNAL_DATE,SYMBOL,DIRECTION,SECTOR,SCORE,ENTRY,SL,TARGET,QTY,RISK_RS,GAIN_RS,ATR_PCT,VOL_X,DELIV_PCT,CLOSE,REGIME,REASON,RUN_TS
2026-09-25,2026-09-24,BAJAJFINSV,SHORT,FINANCE,11,1760.24,1788.81,1703.1,14,399.99,799.99,2.3,22.76,0.0,1771.0,WEAK,20D BREAKDOWN | VOL 22.8x | RED | WEAK CLOSE | DOWNTREND+ | RS<NIFTY | ATR SWEET | WEAK-MKT BIAS,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,AUBANK,SHORT,FINANCE,11,999.0,1016.46,964.08,22,384.14,768.27,2.49,3.97,0.0,1000.0,WEAK,20D BREAKDOWN | VOL 4.0x | RED | WEAK CLOSE | DOWNTREND+ | RS<NIFTY | ATR SWEET | WEAK-MKT BIAS,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,NAUKRI,SHORT,CONSSVC,11,1202.3,1230.07,1146.74,14,388.88,777.77,3.26,2.5,0.0,1216.0,WEAK,20D BREAKDOWN | VOL 2.5x | RED | WEAK CLOSE | DOWNTREND+ | RS<NIFTY | ATR SWEET | WEAK-MKT BIAS,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,BHARTIARTL,SHORT,TELECOM,10,1789.21,1810.49,1746.64,18,383.09,766.19,1.7,9.76,0.0,1791.0,WEAK,20D BREAKDOWN | VOL 9.8x | RED | WEAK CLOSE | DOWNTREND+ | ATR SWEET | WEAK-MKT BIAS,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,BAJAJ-AUTO,SHORT,AUTO,10,11192.8,11328.45,10921.49,2,271.31,542.61,1.73,5.89,0.0,11205.0,WEAK,20D BREAKDOWN | VOL 5.9x | RED | WEAK CLOSE | DOWNTREND+ | ATR SWEET | WEAK-MKT BIAS,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,SUNTV,LONG,MEDIA,11,522.47,510.65,546.12,33,390.2,780.41,3.3,7.44,0.0,512.5,WEAK,20D BREAKOUT | VOL 7.4x | GREEN | STRONG CLOSE | UPTREND+ | RS>NIFTY | ATR SWEET,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,CARBORUNIV,LONG,CAPGOODS,10,1370.42,1332.56,1446.14,10,378.62,757.24,4.18,6.47,0.0,1295.05,WEAK,20D BREAKOUT | VOL 6.5x | GREEN | UPTREND+ | RS>NIFTY | ATR SWEET,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,AXISBANK,SHORT,FINANCE,10,1174.37,1190.85,1141.43,24,395.36,790.72,1.98,4.92,0.0,1186.5,WEAK,20D BREAKDOWN | VOL 4.9x | RED | WEAK CLOSE | DOWNTREND+ | ATR SWEET,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,RELIANCE,SHORT,OILGAS,10,1217.78,1231.35,1190.63,29,393.63,787.25,1.59,2.16,0.0,1219.0,WEAK,20D BREAKDOWN | VOL 2.2x | RED | WEAK CLOSE | DOWNTREND+ | ATR SWEET,2026-09-25 00:02:18 IST
2026-09-25,2026-09-24,INFY,SHORT,IT,10,1004.29,1022.38,968.13,22,397.78,795.57,2.56,1.77,0.0,1009.1,WEAK,20D BREAKDOWN | VOL 1.8x | RED | WEAK CLOSE | DOWNTREND+ | RS<NIFTY | ATR SWEET,2026-09-25 00:02:18 IST
